timestamp,name,symbol,price_usd,vol_24h,total_vol,chg_24h,chg_7d,market_cap
2025-11-06 00:53:07,Figure Heloc,figr_heloc,$1.03,"$13,390,099.00",0.00%,-0.23%,+3.17%,"$13,879,329,130"
2025-11-06 00:53:07,Wrapped Beacon ETH,wbeth,"$3,728.83","$10,871,389.00",0.00%,+9.94%,-11.90%,"$12,152,071,470"
2025-11-06 00:53:07,LEO Token,leo,$9.56,"$673,906.00",0.00%,+0.25%,-0.65%,"$8,813,460,937"
2025-11-06 00:53:07,MemeCore,m,$2.46,"$14,814,764.00",0.00%,+2.22%,+8.45%,"$4,176,392,543"
2025-11-06 00:53:07,sUSDS,susds,$1.07,"$13,062,756.00",0.00%,+0.01%,+0.09%,"$3,772,035,727"
2025-11-06 00:53:07,Wrapped stETH,wsteth,"$4,197.45","$40,592,709.00",0.01%,+9.98%,-12.71%,"$13,976,303,548"
2025-11-06 00:53:07,Wrapped eETH,weeth,"$3,727.87","$40,386,663.00",0.01%,+10.40%,-12.54%,"$9,108,153,448"
2025-11-06 00:53:07,Cronos,cro,$0.13,"$46,658,701.00",0.01%,+9.60%,-16.10%,"$4,526,529,787"
2025-11-06 00:53:07,Bitget Token,bgb,$4.13,"$58,320,824.00",0.02%,+2.41%,-11.02%,"$2,887,081,494"
2025-11-06 00:53:07,USDS,usds,$1.00,"$91,322,444.00",0.03%,+0.01%,+0.03%,"$9,348,679,315"
2025-11-06 00:53:07,Lido Staked Ether,steth,"$3,446.40","$143,711,043.00",0.04%,+9.94%,-12.04%,"$29,811,506,003"
2025-11-06 00:53:07,Dai,dai,$1.00,"$133,692,170.00",0.04%,+0.27%,+0.05%,"$4,634,765,379"
2025-11-06 00:53:07,WhiteBIT Coin,wbt,$52.67,"$152,361,176.00",0.05%,+3.74%,+25.32%,"$11,309,655,767"
2025-11-06 00:53:07,WETH,weth,"$3,455.88","$157,952,090.00",0.05%,+10.50%,-11.82%,"$7,308,514,714"
