timestamp,name,symbol,price_usd,vol_24h,total_vol,chg_24h,chg_7d,market_cap
2025-12-16 20:02:35,USDS,usds,$1.00,"$5,703,044.00",0.00%,+0.00%,+0.00%,"$9,896,882,914"
2025-12-16 20:02:35,LEO Token,leo,$9.05,"$623,941.00",0.00%,-2.01%,-6.13%,"$8,342,120,061"
2025-12-16 20:02:35,Figure Heloc,figr_heloc,$1.03,"$14,206,319.00",0.01%,+1.90%,+0.11%,"$14,686,444,904"
2025-12-16 20:02:35,Wrapped Beacon ETH,wbeth,"$3,188.28","$12,486,812.00",0.01%,-1.50%,-12.59%,"$10,414,049,652"
2025-12-16 20:02:35,Wrapped eETH,weeth,"$3,183.50","$18,519,345.00",0.01%,-1.66%,-12.63%,"$8,693,964,613"
2025-12-16 20:02:35,Cronos,cro,$0.10,"$28,125,659.00",0.01%,-1.42%,-11.78%,"$3,582,525,394"
2025-12-16 20:02:35,Ethena Staked USDe,susde,$1.21,"$27,795,928.00",0.01%,-0.10%,+0.02%,"$3,449,963,401"
2025-12-16 20:02:35,MemeCore,m,$1.63,"$11,307,662.00",0.01%,-7.08%,+21.64%,"$2,801,937,783"
2025-12-16 20:02:35,Canton,cc,$0.07,"$16,093,043.00",0.01%,+2.54%,-5.02%,"$2,646,428,530"
2025-12-16 20:02:35,Rain,rain,$0.01,"$21,995,071.00",0.01%,+0.92%,-0.94%,"$2,642,216,415"
2025-12-16 20:02:35,Lido Staked Ether,steth,"$2,938.42","$50,197,488.00",0.02%,-1.53%,-9.56%,"$25,758,884,857"
2025-12-16 20:02:35,sUSDS,susds,$1.08,"$50,290,701.00",0.02%,-0.25%,+0.72%,"$4,705,508,980"
2025-12-16 20:02:35,Wrapped stETH,wsteth,"$3,589.85","$66,894,431.00",0.03%,-1.61%,-9.55%,"$11,344,318,996"
2025-12-16 20:02:35,WETH,weth,"$2,937.75","$53,936,847.00",0.03%,-1.52%,-9.44%,"$7,628,509,982"
2025-12-16 20:02:35,WhiteBIT Coin,wbt,$58.12,"$74,806,980.00",0.04%,+0.08%,-7.48%,"$12,454,642,885"
2025-12-16 20:02:35,World Liberty Financial,wlfi,$0.13,"$85,154,087.00",0.04%,+2.42%,-14.30%,"$3,679,053,198"
2025-12-16 20:02:35,Ethena USDe,usde,$1.00,"$104,292,601.00",0.05%,-0.02%,-1.43%,"$6,456,922,939"
2025-12-16 20:02:35,Hedera,hbar,$0.11,"$109,017,791.00",0.05%,+1.64%,-17.13%,"$4,879,941,923"
2025-12-16 20:02:35,PayPal USD,pyusd,$1.00,"$93,963,407.00",0.05%,-0.00%,-0.02%,"$3,871,702,469"
2025-12-16 20:02:35,Toncoin,ton,$1.56,"$104,175,594.00",0.05%,+5.87%,-6.04%,"$3,833,769,750"
2025-12-16 20:02:35,Shiba Inu,shib,$0.00,"$117,096,358.00",0.06%,+0.84%,-11.85%,"$4,656,936,437"
2025-12-16 20:02:35,Dai,dai,$1.00,"$129,278,018.00",0.06%,-0.05%,+0.07%,"$4,339,687,419"
2025-12-16 20:02:35,Stellar,xlm,$0.22,"$139,146,649.00",0.07%,+1.20%,-11.08%,"$7,177,729,059"
2025-12-16 20:02:35,Monero,xmr,$427.08,"$170,835,393.00",0.08%,+3.08%,+15.87%,"$7,871,152,570"
2025-12-16 20:02:35,Mantle,mnt,$1.26,"$189,014,566.00",0.09%,+1.37%,+10.83%,"$4,082,371,176"
2025-12-16 20:02:35,Polkadot,dot,$1.91,"$182,752,956.00",0.09%,+2.09%,-14.04%,"$3,139,811,680"
2025-12-16 20:02:35,USDT0,usdt0,$1.00,"$253,320,934.00",0.12%,-0.03%,-0.02%,"$4,820,600,795"
2025-12-16 20:02:35,Wrapped Bitcoin,wbtc,"$87,368.00","$275,930,627.00",0.14%,+1.57%,-7.26%,"$10,921,731,456"
2025-12-16 20:02:35,Uniswap,uni,$5.19,"$308,393,069.00",0.15%,+2.92%,-9.34%,"$3,271,945,901"
2025-12-16 20:02:35,Bitcoin Cash,bch,$545.85,"$338,127,352.00",0.17%,+2.79%,-7.42%,"$10,901,145,796"
2025-12-16 20:02:35,Hyperliquid,hype,$26.81,"$353,829,712.00",0.17%,-3.28%,-6.32%,"$7,270,328,053"
2025-12-16 20:02:35,Aave,aave,$187.33,"$388,588,824.00",0.19%,+2.38%,-4.59%,"$2,845,680,375"
2025-12-16 20:02:35,Avalanche,avax,$12.30,"$402,654,835.00",0.20%,-1.02%,-12.98%,"$5,280,339,652"
2025-12-16 20:02:35,USD1,usd1,$1.00,"$464,140,393.00",0.23%,-0.03%,-0.01%,"$2,740,168,747"
2025-12-16 20:02:35,Coinbase Wrapped BTC,cbbtc,"$87,546.00","$509,735,544.00",0.25%,+1.48%,-5.49%,"$6,388,443,517"
